id,studytime,bottest_filter,comp1,comp2,fairQ,fairQ_rt,dg1,dg1_rt,dg2,dg2_rt,dg3,dg3_rt,dg4,dg4_rt,dg5,dg5_rt,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,test,Guess,memQrt,conf,pos,hap,goodness,moral,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,gender,age,deception1,deception2,feedback_excl,Numeracy
242,0:13,1,1,1,40,10.334,40,4.268,40,5.613,40,3.341,40,2.552,50,2.63,500,10,0.001,1,2,2%,2%,10,100,20,5,1,5,64,3,1,43,11.76,6,6,6,6,6,0,1,1,0,0,1,0,1,0,0,2,44,4,1,1,12
243,0:04,1,1,1,10,6.46,0,3.332,0,2.231,0,1.359,0,1.114,0,1.771,500,10,0.001,1,2,2,2,10,100,20,5,1,9,100,2,1,55,6.926,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,1,36,4,1,1,12
244,0:23,1,1,1,10,24.938,10,8.704,10,8.234,0,8.872,0,5.029,0,4.673,500,1,1,3,3,2,20,1,20,20,1,1,1,14,1,1,20,18.64,7,7,7,7,7,1,1,1,0,0,0,1,1,1,0,2,57,4,1,1,6
245,0:11,1,1,1,50,6.918,50,3.603,50,3.01,50,3.959,50,2.649,50,2.663,500,10,0.1,1,2,2%,2 in 100,10,100,20,0.5,1,9 in 10,64,3,1,50,5.552,7,7,7,7,7,0,1,0,0,0,0,1,1,0,0,2,43,4,1,1,11
246,0:11,1,0,1,20,13.348,50,5.831,10,3.568,90,2.575,30,2.952,40,2.534,500,10,10,1,2,2,2,10,100,20,5,1,9,64,3,0,44,6.944,7,6,6,6,6,0,1,0,0,1,1,0,0,0,1,1,58,4,1,1,12
247,0:09,1,1,1,0,11.418,0,3.445,0,2.577,0,8.133,0,4.125,0,1.693,500,10,0.001,1,2,2%,1 in 50,10,100,20,5,1,10%,100%,1,1,0,3.42,7,7,7,7,7,1,1,1,1,0,1,0,0,0,0,1,34,4,1,1,12
248,0:14,1,1,1,10,10.883,50,7.304,50,3.571,50,6.943,50,4.91,50,3.8,500,10,1,1,2,2,2,10,100,20,10,1,10,64%,1,1,50,9.027,7,6,6,6,6,1,1,0,0,0,0,0,1,0,0,2,40,4,1,1,11
249,0:09,1,0,1,0,6.573,10,8.308,10,2.022,10,1.64,10,1.409,10,1.349,500,10,0.01,1,2,2,2,10,100,20,5,1,18,64,1,1,10,5.659,7,6,6,5,5,1,1,1,1,0,1,0,0,0,0,1,32,4,1,1,12
250,0:17,1,1,0,10,10.198,50,5.524,50,4.272,50,3.397,50,2.699,50,2.122,500,10,0.01,1,2,2,2,10,100,20,5,1,90%,64,1,1,50,10.409,7,5,5,6,5,1,1,1,0,0,1,0,0,0,0,1,26,4,1,1,13
251,0:15,1,1,1,50,11.382,50,4.879,60,7.501,70,6.874,50,3.494,40,3.315,500,100,1,1,2,2% in ten years,2 in 100 in ten years,10,100,20,5,1,90,64,3,1,54,14.958,6,7,6,6,7,1,1,1,0,1,0,1,1,0,0,2,66,4,1,1,10
252,0:10,1,1,1,10,10.831,10,18.167,10,2.819,10,2.535,10,2.834,10,2.273,500,10,0.1,1,2,2,2 in 100,10,100,20,50,1,18,64,3,1,10,8.857,7,6,6,7,7,1,1,1,0,0,0,0,1,0,1,2,53,4,1,1,10
253,0:15,1,1,1,30,14.206,30,9.385,30,6.083,30,5.125,30,3.772,30,3.443,500,10,0.1,1,2,2,2,10,100,20,5,1,9%,64,3,1,30,9.368,7,4,4,4,4,1,1,0,0,0,0,0,1,1,1,2,42,4,1,1,11
254,0:16,1,1,1,50,7.506,50,6.098,50,6.092,50,3.872,50,14.626,50,3.997,500,10,0.10%,1,2,2%,2 in 100,10,100,20,50,1,18%,64,2,1,50,7.112,7,5,6,4,4,1,1,0,0,1,0,1,1,1,1,1,44,4,1,1,11
255,0:48,1,1,0,50,3.711,0,8.225,20,448.199,20,59.392,20,2.164,0,2.824,500,10,0.1,1,2,2,2,10,100,20,0.05,1,50,64,1,1,26,5.075,1,1,1,5,4,1,1,0,0,0,1,0,0,0,1,1,28,4,1,1,11
256,0:18,1,0,0,40,5.618,40,7.002,40,9.259,40,1.189,40,0.98,40,0.872,500,10,0.1,1,2,2$,1 in 50,10,100,20,0.5,1,90%,64,1,1,40,3.593,7,6,5,5,6,0,0,0,0,0,0,0,0,0,0,1,32,4,1,1,12
257,0:20,1,1,0,20,18.063,30,9.182,30,21.017,30,3.659,30,4.225,30,3.335,5,10,1,1,2,2,20,1,10,80,500,1,10,2,1,1,30,19.646,5,6,6,6,6,1,1,1,1,1,1,1,1,1,1,2,70,4,1,1,5
258,0:20,1,1,1,30,35.061,30,5.628,20,6.418,20,8.438,10,2.014,40,6.473,500,10,0.50%,1,2,2%,1 in 50,10,100,20,10,1,50%,64%,3,1,28,30.165,5,5,4,6,6,1,1,1,0,0,0,0,0,0,0,2,24,4,1,1,10
259,0:14,1,1,1,0,8.102,0,4.122,0,2.137,0,2.04,0,2.045,0,2.306,500,10,0.1,1,2,2% in 10 years,1 in 50 in ten years,10,100,20,5,1,50%,64%,1,1,0,8.448,7,4,3,7,4,1,1,0,0,0,1,0,1,1,0,1,35,4,1,1,12
260,0:19,1,1,1,40,8.147,50,6.102,50,2.73,50,1.586,50,1.707,50,1.571,501,10,0.001,1,2,2,1 in 200,10,100,20,5,1,90,64,1,1,50,8.506,7,5,4,7,7,0,1,1,0,0,1,0,1,0,0,1,34,4,1,1,11
261,0:10,1,1,1,0,6.573,0,3.378,0,2.392,0,2.323,0,1.956,0,2.432,500,10,0.1,1,2,2% in 10 years,1 in 50 in ten years,10,100,20,5,1,50%,64%,1,1,0,4.947,7,6,6,5,6,0,1,0,0,0,1,0,0,0,0,1,30,4,1,1,12
262,0:16,1,1,1,0,8.657,50,6.311,40,3.664,50,2.327,50,2.786,50,2.181,500,10,0.1,1,2,2,2,10,100,20,2,1,90,64,3,0,58,26.365,7,6,6,5,5,1,0,1,0,0,0,0,0,0,0,2,55,4,1,1,10
263,0:09,1,0,1,50,7.648,10,4.776,10,6.826,10,3.343,10,1.984,10,1.627,500,10,0.1,1,2,2,2,10,100,20,5,1,9%,64%,3,1,10,5.777,7,5,5,4,5,1,1,0,0,0,0,0,0,0,0,1,38,4,1,1,11
264,0:15,1,1,0,30,4.602,20,3.384,30,2.415,30,2.202,30,2.633,40,2.087,750,10,0.01,1,2,20%,20%,10,100,2,3,1,22,21,2,1,32,4.775,4,5,3,5,4,1,1,1,1,0,1,0,0,0,1,2,27,4,1,1,5
265,0:12,1,1,0,0,8.317,0,9.609,0,3.51,0,2.577,0,2.774,0,2.556,500,10,0.001,1,2,2,2,10,100,20,5,1,90%,16,3,1,0,13.377,7,6,6,6,6,1,1,0,0,0,0,0,1,0,0,2,64,4,1,1,12
266,0:13,1,1,1,40,10.123,50,5.778,50,2.979,50,3.613,50,2.726,50,2.741,500,10,0.10%,1,2,2%,2 in 100,10,100,20,0.01,1,50%,7%,1,1,50,7.978,7,5,5,6,6,1,1,1,0,0,1,0,1,0,0,1,30,4,1,1,11
267,0:19,1,1,1,50,22.367,50,7.489,50,4.085,50,4.008,50,4.013,50,3.385,500,10,0.1,1,2,2% in ten years,2 in 100 in ten years,10,100,20,5,1,50%,64%,1,1,50,10.913,7,5,5,7,7,1,1,1,0,1,1,1,1,0,1,1,62,4,1,1,12
268,0:10,1,1,1,0,5.362,0,2.625,0,1.875,0,2.455,0,2.821,0,2.404,500,10,0.1,1,2,2,2 in 100,10,1,20,5,1,50%,64,3,1,0,2.77,7,5,5,5,5,0,1,0,0,0,0,1,1,0,0,2,27,4,1,1,10
269,0:09,1,1,1,10,12.501,0,4.987,0,2.829,0,2.45,0,2.639,0,2.534,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,9 in 100,7%,3,1,0,6.89,7,3,3,4,4,0,1,0,0,0,0,0,0,0,0,2,31,4,1,1,10
270,0:14,1,1,1,50,11.763,50,6.3,50,4.506,50,3.99,50,4.807,50,3.87,500,10,0.1,1,2,2% in ten years,2 in 100 in ten years,10,100,20,5,1,50%,64%,1,1,50,6.368,7,3,4,6,1,0,1,0,0,0,0,0,0,0,0,2,44,4,1,1,12
271,0:09,1,1,1,40,10.833,50,3.536,50,5.216,50,3.757,50,3.575,50,2.379,500,1,1,1,2,2,2 in 100 years,10,100,20,2,1,9 out of 100,64,3,1,50,4.199,7,7,7,7,7,1,1,1,1,1,1,1,1,0,1,1,40,4,1,1,9
272,0:17,1,1,1,50,9.034,50,6.7,50,5.47,50,4.612,50,4.445,50,3.384,500,10,1,1,2,2,2 in 100,10,100,20,5,1,9:01,64,1,0,50,7.728,7,5,4,5,7,1,1,1,1,0,0,0,0,1,0,2,37,4,1,1,12
273,0:07,1,1,0,10,5.261,30,5.039,30,2.164,30,1.701,30,2.543,30,1.504,500,10,0.10%,1,2,2%,1 in 50,10,100,20,5,1,50%,64%,3,0,30,6.45,7,4,4,5,5,1,1,0,0,0,1,1,1,0,1,2,22,4,1,1,12
274,0:14,1,1,1,50,15.995,50,8.013,50,3.226,50,4.02,50,2.534,50,2.614,500,10,0.1,1,2,2,1 in 50,10,100,20,5,1,9%,64,1,1,50,9.888,7,5,5,6,6,1,1,1,0,0,1,1,1,1,0,1,47,4,1,1,12
275,0:17,1,0,0,50,15.17,30,9.781,40,6.279,50,5.064,60,3.65,70,5.791,500,0,1%,1,1,2%,1 in 200,10,100,20,50,1,FALSE,Positive,1,1,28,15.884,4,2,2,4,5,1,1,1,0,0,1,0,1,0,0,2,53,4,1,1,7
276,0:22,1,1,1,20,6.886,20,5.994,30,2.74,20,2.95,30,2.202,20,2.188,500,10,0.01,1,2,2,2,10,100,20,5,1,50,16,1,1,25,7.354,5,7,6,7,7,1,1,1,0,0,0,0,0,0,0,2,44,4,1,1,11
