"","a","b","c","d","e","id"
"654",50,50,50,50,50,1051
"655",20,10,10,10,20,1052
"656",20,10,10,30,30,1054
"657",30,20,10,20,0,1056
"658",20,20,10,40,10,1058
"659",50,50,50,50,50,1059
"660",50,50,50,50,50,1061
"661",50,30,30,50,40,1062
"662",50,50,50,50,50,1063
"663",30,30,40,30,30,1064
"664",20,40,10,20,40,1067
"665",30,30,30,30,30,1069
"666",40,40,30,30,30,1072
"667",50,50,50,50,50,1074
"668",50,50,50,40,40,1076
"669",20,50,50,60,40,1077
"670",50,80,70,50,60,1078
"671",50,50,50,50,40,1080
"672",50,40,40,50,50,1081
"673",10,10,10,10,10,1083
"674",50,50,40,40,50,1085
"675",10,20,30,10,20,1088
"676",20,20,10,40,100,1089
"677",50,50,50,50,50,1090
"678",50,50,50,50,50,1091
"679",80,90,80,70,80,1093
"680",50,50,50,50,50,1099
"681",40,30,10,30,30,1101
"682",40,40,40,50,50,1102
"683",0,0,0,0,0,1103
"684",70,60,60,50,60,1104
"685",50,50,30,50,10,1109
"686",30,30,30,30,40,1110
"687",50,50,50,30,50,1111
"688",50,50,50,50,50,1112
"689",50,50,50,50,50,1115
"690",40,60,40,50,60,1118
"691",50,50,40,50,50,1119
"692",30,50,30,10,70,1122
"693",10,10,10,10,10,1123
"694",50,50,50,50,50,1128
"695",50,20,30,30,40,1129
"696",100,80,80,90,80,1133
"697",50,50,50,50,50,1134
"698",50,50,50,50,50,1135
"699",0,0,10,60,0,1136
"700",20,20,20,20,0,1137
"701",50,50,50,50,50,1140
"702",40,60,50,40,40,1144
"703",40,40,40,40,40,1145
"704",0,0,0,0,0,1147
"705",50,50,50,50,50,1148
"706",10,10,10,10,10,1149
"707",50,60,50,40,60,1150
"708",50,50,50,50,50,1151
"709",50,50,50,50,50,1152
"710",100,0,0,0,0,1153
"711",50,50,50,50,50,1154
