id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
94,18,12012,4,30,40,50,30,0,30,1.87,2,2,40,30715,1,2,25,5,-5,,19,16,19,,2,1,0,2,1,13,247,3,2,1,1
95,23,12958.2,4,40,40,30,30,30,34,0.55,2,3,30,50611,-0.4,2,30,4,-4,18,,11,16,,2,2,0,2,1,4,207,3,2,1,1
96,26,20192.8,4,50,50,50,50,50,50,0,2,5,50,36274,0,1,50,6,0,,17,21,20,,2,2,0,2,0.91,5,211,3,1,1,1
97,21,4651.2,4,0,0,0,0,0,0,0,1,3,0,18466,0,1,0,5,0,10,14,10,11,45,2,1,0,2,0.91,7,221,3,1,1,1
98,28,12210.6,4,0,10,0,10,10,6,0.55,1,3,0,37313,-0.6,1,10,4,4,17,14,6,18,55,2,1,0,2,0.91,2,195,3,1,1,1
99,20,18716.6,4,40,50,40,50,60,48,0.84,2,3,40,60165,-0.8,2,50,4,2,19,8,6,22,55,2,2,1,2,0.91,3,203,3,2,1,1
100,20,12863.6,4,50,60,40,70,60,56,1.14,2,3,50,22171,-0.6,2,50,4,-6,16,18,10,12,56,2,1,0,2,0.91,3,204,3,2,1,1
101,26,20600.2,4,0,0,10,0,10,4,0.55,1,3,0,42992,-0.4,2,5,4,1,19,12,11,16,58,2,2,0,2,0.91,7,222,3,2,1,1
102,,13246.4,4,0,0,10,0,60,14,2.61,1,3,50,34469,3.6,2,20,3,6,19,10,11,19,59,2,2,0,2,1,3,202,3,2,1,1
103,,14940.6,4,0,40,10,10,0,12,1.64,1,3,50,41253,3.8,1,30,1,18,18,12,17,16,63,2,1,0,2,0.73,3,197,3,1,1,1
104,22,14389,4,20,10,0,10,30,14,1.14,1,3,50,,3.6,2,20,3,6,19,13,13,18,63,2,1,0,2,1,13,246,3,2,1,1
