id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
189,20,9628.2,3,40,40,40,40,50,42,0.45,2,3,40,11218,-0.2,1,40,4,-2,27,21,18,23,89,2,1,0,1,1,5,148,1,1,1,2
190,,6424.4,3,30,30,30,30,30,30,0,2,3,30,19665,0,2,30,1,0,23,28,19,25,95,2,1,0,1,1,3,140,1,2,1,2
191,23,5100.4,3,0,0,0,0,0,0,0,1,3,0,18636,0,1,0,1,0,29,29,14,29,101,2,2,0,1,0.82,1,126,1,1,1,2
192,20,13105,2,70,80,60,60,60,66,0.89,2,3,50,36440,-1.6,1,65,2,-1,21,,14,25,,1,2,0,2,1,13,123,4,1,2,1
193,25,5110.2,2,0,0,0,0,0,0,0,1,3,0,34656,0,2,0,7,0,15,13,13,12,53,1,1,0,2,0.91,9,107,4,2,2,1
194,21,12680.8,2,40,40,40,40,40,40,0,2,3,40,38195,0,2,40,1,0,15,11,11,17,54,1,1,0,2,1,1,65,4,2,2,1
195,25,17090.6,2,20,20,20,30,20,22,0.45,1,5,0,70707,-2.2,2,22,1,0,13,14,12,24,63,1,2,0,2,1,8,98,4,2,2,1
196,21,10651.6,2,0,0,0,0,0,0,0,1,3,0,20325,0,1,0,7,0,18,15,13,18,64,1,1,0,2,1,5,90,4,1,2,1
197,20,20346,2,40,30,30,30,30,32,0.45,2,3,20,37118,-1.2,2,30,6,-2,16,20,12,18,66,1,1,0,2,1,6,91,4,2,2,1
198,26,11715.2,2,0,0,0,0,0,0,0,1,5,0,42586,0,1,0,1,0,21,11,13,22,67,1,1,0,2,1,6,92,4,1,2,1
199,20,17360.8,2,40,40,20,40,40,36,0.89,2,3,40,48813,0.4,1,35,1,-1,17,12,19,20,68,1,2,0,2,0.45,5,85,4,1,2,1
200,20,21059.6,2,20,0,10,0,20,10,1,1,3,0,117101,-1,2,10,7,0,20,16,6,27,69,1,2,0,2,1,11,113,4,2,2,1
201,21,13559.8,2,40,40,40,40,40,40,0,2,3,40,31465,0,2,40,4,0,13,22,14,20,69,1,2,0,2,1,3,73,4,2,2,1
202,19,5358.2,2,50,20,20,20,20,26,1.34,2,2,0,20790,-2.6,2,30,1,4,18,15,22,15,70,1,1,0,2,0.91,7,96,4,2,2,1
203,21,10764.8,2,0,0,0,0,0,0,0,1,3,0,29869,0,1,0,1,0,16,12,19,24,71,1,2,0,2,1,4,82,4,1,2,1
204,21,15010,2,50,50,50,50,50,50,0,2,3,50,33108,0,2,50,1,0,21,19,11,20,71,1,2,0,2,0.91,2,68,4,2,2,1
205,21,11590.6,2,10,10,10,10,10,10,0,1,3,0,,-1,2,10,7,0,21,22,11,20,74,1,2,0,2,0.91,1,66,4,2,2,1
206,20,11269,2,0,0,0,0,0,0,0,1,3,0,26139,0,1,0,2,0,22,23,13,18,76,1,2,0,2,1,8,102,4,1,2,1
207,21,10703.6,2,50,50,50,50,50,50,0,2,3,40,22361,-1,1,50,7,0,21,17,16,22,76,1,1,0,2,1,9,103,4,1,2,1
208,19,14505.4,2,0,0,0,0,0,0,0,1,3,0,38372,0,2,0,7,0,18,19,16,24,77,1,1,0,2,1,2,71,4,2,2,1
209,20,7444.25,2,30,30,30,30,30,30,0,2,3,30,33732,0,1,30,1,0,21,20,14,22,77,1,1,0,2,1,3,74,4,1,2,1
210,20,11905,2,10,10,0,10,0,6,0.55,1,3,10,24745,0.4,2,8,1,2,23,16,12,27,78,1,2,0,2,0.91,13,121,4,2,2,1
211,23,13827.4,2,40,60,30,50,40,44,1.14,2,3,40,24606,-0.4,2,40,1,-4,21,25,11,23,80,1,2,0,2,1,4,81,4,2,2,1
212,22,9973.8,2,0,0,0,0,0,0,0,1,3,0,37306,0,1,10,1,10,22,28,17,15,82,1,1,0,2,0.64,13,125,4,1,2,1
213,22,10233.8,2,30,30,20,30,10,24,0.89,2,3,40,40179,1.6,1,35,7,11,25,27,16,20,88,1,2,0,2,1,8,100,4,1,2,1
214,30,12276.8,2,0,0,0,0,0,0,0,1,3,0,73404,0,2,0,7,0,24,24,12,30,90,1,2,0,2,0.91,13,124,4,2,2,1
215,23,6804.8,2,0,0,0,0,0,0,0,1,3,0,52229,0,2,0,7,0,26,27,20,26,99,1,2,0,2,1,11,115,4,2,2,1
216,24,15129.8,2,0,10,10,0,10,6,0.55,1,3,0,28588,-0.6,1,6,6,0,28,29,23,25,105,1,2,0,2,1,11,117,4,1,2,1
217,18,26648.8,4,10,30,0,10,0,10,1.22,1,1,20,81903,1,1,12,4,2,12,8,13,15,48,2,1,0,2,0.73,3,196,3,1,1,1
218,,5430.6,4,0,0,0,0,0,0,0,1,5,0,26522,0,2,0,6,0,15,3,8,24,50,2,1,0,2,1,3,199,3,2,1,1
219,20,10230,4,0,0,0,0,0,0,0,1,3,0,51711,0,2,0,1,0,17,5,12,17,51,2,1,0,2,1,5,213,3,2,1,1
220,23,17968.2,4,50,50,50,50,50,50,0,2,3,50,34016,0,2,50,4,0,18,11,9,13,51,2,2,0,2,1,4,205,3,2,1,1
221,26,14117.2,4,20,20,20,20,20,20,0,1,5,20,32977,0,2,20,1,0,16,9,10,17,52,2,2,0,2,1,9,232,3,2,1,1
222,20,10486.6,4,30,20,20,40,20,26,0.89,2,2,40,53805,1.4,1,40,5,14,16,17,14,14,61,2,2,0,2,0.55,9,229,3,1,1,1
223,23,11322.6,4,30,30,40,50,40,38,0.84,2,3,40,26189,0.2,2,40,1,2,18,13,12,18,61,2,1,0,2,1,11,240,3,2,1,1
224,22,5369,4,0,0,0,0,0,0,0,1,3,0,16388,0,1,0,4,0,19,10,11,22,62,2,1,0,2,1,2,193,3,1,1,1
225,21,15954.4,4,20,30,30,20,20,24,0.55,2,3,20,28020,-0.4,2,22,1,-2,16,9,13,25,63,2,1,0,2,1,5,212,3,2,1,1
226,22,13629.4,4,0,100,100,50,40,58,4.27,2,3,40,19813,-1.8,2,15,1,-43,10,21,13,21,65,2,1,0,2,1,5,209,3,2,1,1
227,64,38425,4,40,50,40,10,10,30,1.87,2,4,0,46921,-3,2,50,7,20,21,15,16,14,66,2,2,0,2,0.64,8,223,3,2,1,1
228,29,15095,4,80,80,80,80,80,80,0,2,5,80,29316,0,2,80,1,0,12,13,22,24,71,2,2,0,2,1,3,201,3,2,1,1
229,21,9553,4,0,0,0,0,0,0,0,1,3,20,25885,2,2,2,7,2,12,23,20,17,72,2,2,0,2,1,9,230,3,2,1,1
230,21,6243.6,4,0,0,0,0,0,0,0,1,3,0,17893,0,2,0,7,0,17,24,13,19,73,2,1,1,2,0.91,12,244,3,2,1,1
231,26,10633.6,4,50,50,50,50,50,50,0,2,3,50,36141,0,2,50,1,0,23,16,14,20,73,2,1,0,2,0.91,3,198,3,2,1,1
232,25,14966.8,4,30,20,30,30,20,26,0.55,2,3,30,35971,0.4,2,28,5,2,16,19,19,20,74,2,2,0,2,0.91,7,219,3,2,1,1
233,19,17599,4,30,30,30,30,30,30,0,2,3,30,46608,0,1,30,6,0,18,22,16,19,75,2,2,0,2,1,13,249,3,1,1,1
234,23,17447.4,4,0,0,0,0,0,0,0,1,3,0,61734,0,2,0,7,0,18,19,13,26,76,2,1,0,2,1,11,241,3,2,1,1
235,23,10764.6,4,30,30,30,30,30,30,0,2,3,20,29077,-1,1,40,4,10,23,22,12,19,76,2,2,0,2,0.73,6,218,3,1,1,1
236,24,10838.2,4,30,30,30,30,30,30,0,2,5,30,69871,0,2,30,1,0,18,24,16,19,77,2,1,0,2,1,4,206,3,2,1,1
237,21,11259.4,4,30,30,30,20,40,30,0.71,2,3,30,25174,0,1,28,2,-2,20,15,28,15,78,2,1,0,2,0.91,13,248,3,1,1,1
238,,10181.8,4,50,50,50,50,50,50,0,2,3,50,36706,0,1,50,1,0,23,22,23,16,84,2,1,0,2,0.91,3,200,3,1,1,1
239,23,14562.4,4,30,40,30,30,30,32,0.45,2,5,30,24438,-0.2,1,32.5,4,0.5,20,23,16,26,85,2,1,0,2,1,5,208,3,1,1,1
240,,15139.6,4,20,10,20,10,20,16,0.55,1,3,20,49827,0.4,1,40,5,24,25,25,10,29,89,2,1,0,2,0.91,1,191,3,1,1,1
241,28,5481.6,4,50,50,50,50,50,50,0,2,5,50,10678,0,1,50,4,0,24,24,18,23,89,2,2,0,2,1,8,226,3,1,1,1
242,22,12968,4,40,20,20,30,30,28,0.84,2,3,50,28550,2.2,1,30,1,2,28,17,16,29,90,2,2,0,2,0.64,1,192,3,1,1,1
243,25,14104.4,4,50,40,50,50,50,48,0.45,2,5,50,48985,0.2,2,48,1,0,28,20,23,22,93,2,1,0,2,0.91,11,238,3,2,1,1
